team,current_elo,avg_elo_last20,elo_trend_5,elo_trend_10,wins_last20,draws_last20,losses_last20,win_rate_last20,goals_for_avg_last20,goals_against_avg_last20,goal_diff_avg_last20,clean_sheet_rate,wc_appearances,knockout_appearances,quarter_finals,semi_finals,finals,titles,deep_run_score,title_conversion_rate,knockout_matches,knockout_wins,knockout_losses,knockout_win_rate,knockout_goal_diff_avg,penalty_match_rate,shootouts_played,shootouts_won,shootout_win_rate,penalty_strength,penalty_experience
Algeria,1785.818260950317,1768.122860029244,25.208034337659456,19.00922110829788,14,4,2,0.7,2.2,0.6,1.6,0.6,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,1885.520182161398,1886.7079129521946,-27.84793361166885,-12.857323203893202,15,2,3,0.75,2.25,0.45,1.8,0.65,4.0,4.0,2.0,2.0,2.0,1.0,17.0,0.5,11.0,8.0,3.0,0.7272727272727273,0.18181818181818182,0.2727272727272727,3.0,3.0,1.0,0.6,1.3862943611198906
Australia,1713.9023065564731,1721.1511913703193,13.276193898622296,29.295518493638383,10,5,5,0.5,1.45,0.85,0.6,0.35,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,1707.3679693371214,1688.0226474171043,-1.9961805372265644,-0.9395645282299938,12,4,4,0.6,2.25,0.75,1.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium,1724.081881335204,1704.7728953868925,-50.911930334387534,-23.483659547940533,10,5,5,0.5,2.6,1.1,1.5,0.35,3.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,5.0,3.0,2.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,1518.337279944882,1475.8281806039538,75.43196539264363,52.7251410800734,6,8,6,0.3,1.45,1.5,-0.05,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,1792.291554952305,1783.4472305306504,-11.845933053694353,-8.004682339174224,11,4,5,0.55,1.9,1.0,0.9,0.35,4.0,4.0,4.0,1.0,0.0,0.0,6.0,0.0,9.0,5.0,4.0,0.5555555555555556,0.1111111111111111,0.2222222222222222,2.0,1.0,0.5,0.25,1.0986122886681098
Canada,1708.9522674706325,1687.5857677256831,28.863183568017575,16.62716535526488,10,8,2,0.5,1.55,0.55,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cape Verde,1616.0746084097,1601.2369152665528,21.496613880006635,23.40823991372622,8,7,5,0.4,1.35,0.95,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,1772.1062904357548,1784.0679216585365,-45.69846826434264,-24.566807201102392,9,5,6,0.45,1.9,1.1,0.8,0.35,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.6931471805599453
