date,team,opponent,result,goals_scored,goals_conceded,goal_diff,elo_before,opponent_elo,elo_after,world_cup_year,round,went_to_penalties,won_on_penalties
2014-06-30,Algeria,Germany,Loss,1,2,-1,1600.008303359929,1786.591794835453,1584.7304086929394,2014,Round of 16,False,False
2010-06-27,Argentina,Mexico,Win,3,1,2,1639.3890993770997,1535.7143908168414,1660.6936735730576,2010,Round of 16,False,False
2010-07-03,Argentina,Germany,Loss,0,4,-4,1660.6936735730576,1583.948293466775,1624.172660889849,2010,Quarter Final,False,False
2014-07-01,Argentina,Switzerland,Win,1,0,1,1772.492307874003,1639.5633635222196,1791.5434025560965,2014,Round of 16,False,False
2014-07-05,Argentina,Belgium,Win,1,0,1,1791.5434025560965,1738.1244866255215,1816.9668486209127,2014,Quarter Final,False,False
2014-07-09,Argentina,Netherlands,Win,0,0,0,1816.9668486209127,1762.1227356270729,1812.2701730131964,2014,Semi Final,True,True
2014-07-13,Argentina,Germany,Loss,0,1,-1,1812.2701730131964,1838.286273607327,1784.5123945189175,2014,Final,False,False
2018-06-30,Argentina,France,Loss,3,4,-1,1698.77419588836,1778.0260553526855,1675.5010831535708,2018,Round of 16,False,False
2022-12-03,Argentina,Australia,Win,2,1,1,1816.726289417256,1679.5785357671375,1835.4630330343505,2022,Round of 16,False,False
2022-12-09,Argentina,Netherlands,Win,2,2,0,1835.4630330343505,1842.535847872148,1836.073664610366,2022,Quarter Final,True,True
2022-12-13,Argentina,Croatia,Win,3,0,3,1836.073664610366,1762.699688142875,1859.8305853134548,2022,Semi Final,False,False
2022-12-18,Argentina,France,Win,3,3,0,1859.8305853134548,1851.4838201656123,1859.1100062975688,2022,Final,True,True
2022-12-03,Australia,Argentina,Loss,1,2,-1,1699.850894855172,1816.726289417256,1679.5785357671375,2022,Round of 16,False,False
2014-07-01,Belgium,United States,Win,2,1,1,1713.0690538873762,1655.277950372119,1738.1244866255215,2014,Round of 16,False,False
2014-07-05,Belgium,Argentina,Loss,0,1,-1,1738.1244866255215,1816.9668486209127,1714.8177839796106,2014,Quarter Final,False,False
2018-07-02,Belgium,Japan,Win,3,2,1,1841.3925540424264,1614.1928002541515,1854.1631943575064,2018,Round of 16,False,False
2018-07-06,Belgium,Brazil,Win,2,1,1,1854.1631943575064,1875.1949276230573,1885.977005227012,2018,Quarter Final,False,False
2018-07-10,Belgium,France,Loss,0,1,-1,1885.977005227012,1821.894496330056,1850.5055817359016,2018,Semi Final,False,False
2010-06-28,Brazil,Chile,Win,3,0,3,1591.154739608124,1500.0,1613.459567662412,2010,Round of 16,False,False
