team,wc_appearances,round_of_16,quarter_finals,semi_finals,finals,titles,best_finish
Algeria,2,1,0,0,0,0,Round of 16
Argentina,4,4,2,2,2,1,Champion
Australia,4,1,0,0,0,0,Round of 16
Austria,0,0,0,0,0,0,Did not Qualify
Belgium,3,2,2,1,0,0,Semi Final
Bosnia and Herzegovina,1,0,0,0,0,0,Group Stage
Brazil,4,4,4,1,0,0,Semi Final
Canada,1,0,0,0,0,0,Group Stage
Cape Verde,0,0,0,0,0,0,Did not Qualify
Colombia,2,2,1,0,0,0,Quarter Final
Croatia,3,2,2,2,1,0,Final
Curaçao,0,0,0,0,0,0,Did not Qualify
Czech Republic,0,0,0,0,0,0,Did not Qualify
DR Congo,0,0,0,0,0,0,Did not Qualify
Ecuador,2,0,0,0,0,0,Group Stage
Egypt,1,0,0,0,0,0,Group Stage
England,4,3,2,1,0,0,Semi Final
France,4,3,3,2,2,1,Champion
Germany,4,2,2,2,1,1,Champion
Ghana,3,1,1,0,0,0,Quarter Final
Haiti,0,0,0,0,0,0,Did not Qualify
Iran,3,0,0,0,0,0,Group Stage
Iraq,0,0,0,0,0,0,Did not Qualify
Ivory Coast,2,0,0,0,0,0,Group Stage
Japan,4,3,0,0,0,0,Round of 16
Jordon,0,0,0,0,0,0,Did not Qualify
Mexico,4,3,0,0,0,0,Group Stage
Morocco,2,1,1,1,0,0,Semi Final
Netherlands,3,3,3,2,1,0,Final
New Zealand,1,0,0,0,0,0,Group Stage
Norway,0,0,0,0,0,0,Did not Qualify
Panama,1,0,0,0,0,0,Group Stage
Paraguay,1,1,1,0,0,0,Quarter Final
Portugal,4,3,1,0,0,0,Quarter Final
Qatar,1,0,0,0,0,0,Group Stage
Saudi Arabia,2,0,0,0,0,0,Group Stage
Scotland,0,0,0,0,0,0,Did not Qualify
Senegal,2,1,0,0,0,0,Round of 16
South Africa,1,0,0,0,0,0,Group Stage
South Korea,4,2,0,0,0,0,Round of 16
Spain,4,3,1,1,1,1,Champion
Sweden,1,1,1,0,0,0,Quarter Final
Switzerland,4,3,0,0,0,0,Round of 16
Tunisia,2,0,0,0,0,0,Group Stage
Turkey,0,0,0,0,0,0,Did not Qualify
United States,3,3,0,0,0,0,Round of 16
Uruguay,4,3,2,1,0,0,Semi Final
Uzbekistan,0,0,0,0,0,0,Did not Qualify
